===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2017-07-13 20:13:59
count workspace : c:\Users\kowal\Documents\Git\kowax-experiment-legacy
total files : 538
total code lines : 68236
total comment lines : 11524
total blank lines : 2128

.classpath, code is 21, comment is 0, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\AliasManager.Alias.html, code is 265, comment is 50, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\AliasManager.html, code is 349, comment is 56, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\ApiManager.Component.html, code is 306, comment is 53, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\ApiManager.ComponentAlreadyRegistredException.html, code is 231, comment is 47, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\ApiManager.html, code is 275, comment is 53, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\class-use\AliasManager.Alias.html, code is 90, comment is 36, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\class-use\AliasManager.html, code is 131, comment is 37, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\class-use\ApiManager.Component.html, code is 162, comment is 37, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\class-use\ApiManager.ComponentAlreadyRegistredException.html, code is 90, comment is 36, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\class-use\ApiManager.html, code is 90, comment is 36, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\class-use\DisplayManager.html, code is 90, comment is 36, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\class-use\ExplorerInterface.html, code is 129, comment is 37, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\class-use\HostPlatform.html, code is 138, comment is 37, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\class-use\MacroManager.html, code is 90, comment is 36, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\class-use\PluginBase.html, code is 310, comment is 40, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\class-use\PluginManager.html, code is 131, comment is 37, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\class-use\Stdio.html, code is 348, comment is 41, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\class-use\SystemApi.html, code is 160, comment is 38, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\class-use\SystemEvent.html, code is 369, comment is 42, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\class-use\TaskManager.html, code is 131, comment is 37, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\class-use\TaskManager.Task.html, code is 142, comment is 37, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\class-use\TokenKey.html, code is 493, comment is 45, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\class-use\TokenKey.InvalidTokenException.html, code is 90, comment is 36, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\class-use\UsersManager.ExistingUserException.html, code is 142, comment is 37, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\class-use\UsersManager.html, code is 131, comment is 37, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\class-use\UsersManager.InvalidUserException.html, code is 134, comment is 37, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\class-use\UsersManager.User.html, code is 179, comment is 38, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\DisplayManager.html, code is 193, comment is 46, blank is 0.
